આપ્તસૂત્ર - સંપૂર્ણ	aaptsutra-full	books/gujarati/aaptsutra-full.pdf
ગ્રહ-આગ્રહ-નિરાગ્રહ	Grah Agrah Niragrah	books/gujarati/Grah Agrah Niragrah.pdf
ગુણદર્શન	Gun Darshan - KANUBHAI SUTRO	books/gujarati/Gun Darshan - KANUBHAI SUTRO.pdf
જીવન ધર્મ	Jeevan Dharm	books/gujarati/Jeevan Dharm.pdf
કૃપા	Krupa	books/gujarati/Krupa.pdf
મનથી મુક્તિ	Man Thi Mukti	books/gujarati/Man Thi Mukti.pdf
માનવ જીવન એ કુદરતી રચના	Manav Jivan ae Kudarati Rachana	books/gujarati/Manav Jivan ae Kudarati Rachana.pdf
મૌલિક વાતો "જ્ઞાની" ની	Maulik Vato Gnani Ni	books/gujarati/Maulik Vato Gnani Ni.pdf
મૂર્તિપૂજા	Murtipooja	books/gujarati/Murtipooja.pdf
ના હો લેશમાત્ર ક્લેશ કે કઢાપો	Na ho leshmatra klesh ke kadhapo	books/gujarati/Na ho leshmatra klesh ke kadhapo.pdf
નવી દ્રષ્ટિ	Navi Drashti	books/gujarati/Navi Drashti.pdf
નીમીત્ત - ઉપાદાન	Nimit Upadan	books/gujarati/Nimit Upadan.pdf
નિર્વિશેષ પદમાં સંસ્થિત અક્રમવિજ્ઞાની 'દાદાશ્રી'	Nirvishesh Pad Ma Sansthit Akramvignani Dadasrhi	books/gujarati/Nirvishesh Pad Ma Sansthit Akramvignani Dadasrhi.pdf
નીતિ-અનીતિ	Niti Aniti	books/gujarati/Niti Aniti.pdf
પરમ સુખનો વૈભવ	Param Sukh No Vaibhav	books/gujarati/Param Sukh No Vaibhav.pdf
પોઝીટીવ દ્રષ્ટિ	Positive Drashti	books/gujarati/Positive Drashti.pdf
પ્રગટ પ્રત્યક્ષ જ્ઞાનીપુરૂષની યથાર્થ ઓળખ	Pragat Pratyaksh Gnani Purush Ni Yatharth Odakh	books/gujarati/Pragat Pratyaksh Gnani Purush Ni Yatharth Odakh.pdf
પ્રજ્ઞાશક્તિ	Pragna Shakti	books/gujarati/Pragna Shakti.pdf
સત્ સાધન પંચામૃત (દીવો કરીએ)	Sat Sadhan Panchamrut [Divo kariae]	books/gujarati/Sat Sadhan Panchamrut [Divo kariae].pdf
શંકા	Shanka	books/gujarati/Shanka.pdf
શ્રી સીમંધર સ્વામી સ્વ-દર્શન	Sri Simandhar Swami Swa Darshan	books/gujarati/Sri Simandhar Swami Swa Darshan.pdf
સ્વ' - સ્વરૂપ અખંડ કીર્તન - ભક્તિ	Swa Swaroop Akhand Kirtan Bhakti	books/gujarati/Swa Swaroop Akhand Kirtan Bhakti.pdf
તેવો અને તેનો સ્વભાવ	Tevo Ane Teno Swabhav	books/gujarati/Tevo Ane Teno Swabhav.pdf
ઉકલે બ્રહ્માંડી રહસ્યો, 'કેવળ-જ્ઞાન' પ્રકાશે	Ukale Brahmandi Rahasyo, Keval-Gyan Prakashe	books/gujarati/Ukale Brahmandi Rahasyo, Keval-Gyan Prakashe.pdf
ઉપયોગ અને તેની ગોઠવણી	Upayog Ane Teni Gothavni	books/gujarati/Upayog Ane Teni Gothavni.pdf
પત્ર-નિશ્ચય - સ્વ. મ. ચંન્દ્રકાન્તભાઈ પટેલ ના પત્રો	Patra Nischay - Lt. M Chandrakantbhai Patel Letters	books/gujarati/Patra Nischay - Lt. M Chandrakantbhai Patel Letters.pdf
પુરુષાર્થ ધર્મ	Purusharth Dharm	books/gujarati/Purusharth Dharm.pdf
